Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,date_num,date
ID20230117235328391000,1,5,0.00868055555569,17.4009990692,19.3549995422,1.95400047302,18.4835998535,0.71517750409,92.4179992676,20140620,2014-06-20
ID20230117235328391000,1,5,0.00868055555569,19.0820007324,21.1790008545,2.09700012207,20.2160007477,0.800343261307,101.080003738,20140621,2014-06-21
ID20230117235328391000,1,5,0.00868055555569,18.7709999084,21.0410003662,2.27000045776,19.9966003418,0.886393957344,99.983001709,20140622,2014-06-22
ID20230117235328391000,1,5,0.00868055555569,19.1329994202,21.2339992523,2.10099983215,20.2355995178,0.835190673495,101.177997589,20140623,2014-06-23
ID20230117235328391000,1,5,0.00868055555569,21.170999527,23.3630008698,2.19200134277,22.2986000061,0.896089841706,111.493000031,20140624,2014-06-24
ID20230117235328391000,1,5,0.00868055555569,20.5820007324,22.783000946,2.20100021362,21.7242004395,0.883582512002,108.621002197,20140625,2014-06-25
ID20230117235328391000,1,5,0.00868055555569,16.236000061,18.1219997406,1.88599967957,17.3645999908,0.653825064523,86.8229999542,20140626,2014-06-26
ID20230117235328391000,1,5,0.00868055555569,13.6730003357,15.2889995575,1.6159992218,14.601199913,0.615673972858,73.0059995651,20140627,2014-06-27
ID20230117235328391000,1,5,0.00868055555569,11.6870002747,13.5710000992,1.88399982452,12.774200058,0.666343226385,63.8710002899,20140628,2014-06-28
ID20230117235328391000,1,5,0.00868055555569,14.5399999619,16.3910007477,1.85100078583,15.549200058,0.683659611216,77.7460002899,20140629,2014-06-29
ID20230117235328391000,1,5,0.00868055555569,16.3759994507,18.0389995575,1.66300010681,17.2591999054,0.644676187533,86.295999527,20140630,2014-06-30
ID20230117235328391000,1,5,0.00868055555569,20.6870002747,22.5,1.81299972534,21.6559997559,0.722055625417,108.279998779,20140701,2014-07-01
ID20230117235328391000,1,5,0.00868055555569,24.7980003357,26.7089996338,1.9109992981,25.890599823,0.744706910811,129.452999115,20140702,2014-07-02
